EmployeeID,Name,Age,Gender,Department,ExperienceYears,Salary,WorkHoursPerWeek,PerformanceScore,JoinDate,Tshirt_size,ProjectCount,TrainingHours,DepartmentRating
189,Employee_89,30,Female,Finance,13,126027,41,92,2018-01-26,M,2,7,1
190,Employee_90,29,Female,Finance,18,,48,79,2014-09-16,M,7,22,2
191,Employee_91,33,Male,HR,10,43373,49,72,2010-10-08,XL,3,46,3
192,Employee_92,55,Male,Management,19,52161,44,87,2018-12-11,S,1,25,4
193,Employee_93,54,Female,IT,17,137532,39,88,2015-03-03,S,8,45,1
194,Employee_94,44,Female,Marketing,19,132658,37,72,2018-12-11,S,6,42,5
195,Employee_95,45,Female,IT,5,140386,41,94,2011-10-29,XL,8,11,3
196,Employee_96,58,Female,Marketing,9,67350,47,65,2021-06-20,S,9,25,2
197,Employee_97,56,Male,IT,12,133008,45,77,2011-11-03,XL,5,12,2
198,Employee_98,43,Female,Management,1,134297,45,64,2015-05-24,M,3,39,3
199,Employee_99,48,Male,Marketing,1,65351,36,84,2021-05-19,L,5,17,2
200,Employee_100,56,Female,HR,15,128668,49,61,2018-07-20,S,5,24,4
